site,date,year,day_of_year,image_no,,prop_blk_pixels,prop_wht_pixels
Ag-nat 2,7/30/2024,2024,212,1,,0.544701158,0.455298842
Ag-nat 2,7/30/2024,2024,212,2,,0.407549355,0.592450645
Ag-nat 2,7/30/2024,2024,212,5,,0.709026637,0.290973363
Ag-nat 2,7/30/2024,2024,212,6,,0.364444879,0.635555121
Ag-nat 2,7/30/2024,2024,212,7,,0.361305984,0.638694016
Ag-nat 2,7/30/2024,2024,212,8,,0.635231423,0.364768577
Ag-nat 2,7/30/2024,2024,212,9,,0.202429857,0.797570143
Ag-nat 2,8/23/2024,2024,236,10,,0.191140039,0.808859961
Ag-nat 2,8/23/2024,2024,236,9,,0.30224376,0.69775624
Ag-nat 2,9/13/2024,2024,250,10,,0.778102719,0.221897281
Ag-nat 2,9/13/2024,2024,250,2,,0.377152693,0.622847307
Ag-nat 2,9/13/2024,2024,250,4,,0.759697026,0.240302974
Ag-nat 2,9/13/2024,2024,250,5,,0.633869927,0.366130073
Ag-nat 2,9/13/2024,2024,250,7,,0.515930086,0.484069914
Ag-nat 2,9/13/2024,2024,250,8,,0.571990938,0.428009062
Ag-nat 2,9/13/2024,2024,250,9,,0.728410487,0.271589513
Ag-nat 3,5/31/2024,2024,152,4,,0.221963762,0.778036238
Ag-nat 3,6/24/2024,2024,176,1,,0.066362092,0.933637908
Ag-nat 3,6/24/2024,2024,176,2,,0.173202381,0.826797619
Ag-nat 3,6/24/2024,2024,176,7,,0.117799174,0.882200826
Ag-nat 3,6/24/2024,2024,176,8,,0.12521219,0.87478781
Ag-nat 3,6/24/2024,2024,176,9,,0.396071855,0.603928145
Ag-nat 3,9/17/2024,2024,261,8,,0.448137812,0.551862188
Ag-nat 3,9/17/2024,2024,261,9,,0.162763451,0.837236549
Ag-nat 5,7/30/2024,2024,212,1,,0.469864062,0.530135938
Ag-nat 5,7/30/2024,2024,212,3,,0.317587069,0.682412931
Ag-nat 5,7/30/2024,2024,212,4,,0.457712421,0.542287579
Ag-nat 5,7/30/2024,2024,212,6,,0.217498213,0.782501787
Ag-nat 5,7/30/2024,2024,212,8,,0.568036519,0.431963481
Ag-nat 5,7/30/2024,2024,212,9,,0.255374964,0.744625036
Ag-nat 5,8/23/2024,2024,236,10,,0.344630607,0.655369393
Ag-nat 5,8/23/2024,2024,236,2,,0.417636585,0.582363415
Ag-nat 5,8/23/2024,2024,236,3,,0.19738173,0.80261827
Ag-nat 5,8/23/2024,2024,236,4,,0.290084075,0.709915925
Ag-nat 5,9/13/2024,2024,250,10,,0.223832017,0.776167983
Ag-nat 5,9/13/2024,2024,250,6,,0.623231233,0.376768767
Ag-nat 5,9/13/2024,2024,250,8,,0.542199886,0.457800114
Ag-nat 5,9/13/2024,2024,250,9,,0.424378734,0.575621266
Ag-nat 7,6/25/2024,2024,177,10,,0.311150514,0.688849486
Ag-nat 7,6/25/2024,2024,177,2,,0.31037461,0.68962539
Ag-nat 7,6/25/2024,2024,177,3,,0.31695379,0.68304621
Ag-nat 7,6/25/2024,2024,177,5,,0.305207414,0.694792586
Ag-nat 7,6/25/2024,2024,177,6,,0.577143251,0.422856749
Ag-nat 7,6/25/2024,2024,177,7,,0.33577246,0.66422754
Ag-nat 7,6/25/2024,2024,177,8,,0.117634213,0.882365787
Ag-nat 7,7/30/2024,2024,212,3,,0.239451353,0.760548647
Ag-nat 7,7/30/2024,2024,212,4,,0.173871214,0.826128786
Ag-nat 7,7/30/2024,2024,212,7,,0.216068746,0.783931254
