site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,3.625982,3414424.285,3.414424285,1.061959996
Nat-ag 5 old,2.091123,3322719.14,3.32271914,0.629340884
Half 9,3.385781,3363724.74,3.36372474,1.006557094
Ag 6,5.295705,3553324.238,3.553324238,1.490352314
Half 2,3.032189,3350962.711,3.350962711,0.904871006
Ag-nat 8,7.569706,3343856.11,3.34385611,2.26376547
Nat QC 1 alt,5.285054,3299054.577,3.299054577,1.601990472
Nat-ag 3,0.175852,3479140.406,3.479140406,0.050544669
Nat-ag 5,2.272771,3682503.898,3.682503898,0.617180881
Half 7,3.280933,3515068.039,3.515068039,0.933391036
Half 10,2.360255,3194912.803,3.194912803,0.738754121
Ag-nat 3,4.802434,3292004.847,3.292004847,1.458817415
Nat QC 7,5.549199,3443087.748,3.443087748,1.611692587
Nat QC 1 old,7.828881,3279108.1,3.2791081,2.387503175
Nat-ag 6,4.571544,3445683.366,3.445683366,1.326745239
Half 6,2.260029,3386232.046,3.386232046,0.667417049
Ag-nat 2,5.063735,3587179.538,3.587179538,1.411620173
Nat-ag 9,5.336442,3340449.18,3.34044918,1.597522283
Ag 3,7.285581,3551632.362,3.551632362,2.051333093
Nat QC 6,5.290829,3299724.084,3.299724084,1.603415578
Nat QC 9,15.761841,3382604.583,3.382604583,4.659675884
Nat-ag 2,2.764143,3520700.471,3.520700471,0.785111663
Nat-ag 7,1.182237,3387722.794,3.387722794,0.3489769
Ag-nat 5,4.12583,3455253.453,3.455253453,1.194074489
Ag-nat 7,2.161718,3428460.699,3.428460699,0.630521447
Ag 5,2.633937,3281485.692,3.281485692,0.802666002
Nat QC 4,6.204656,3318490.84,3.31849084,1.869722202
Ag-nat 9,1.931434,3369464.756,3.369464756,0.573216858
Nat-ag 4,3.515518,3417458.117,3.417458117,1.028693807
Half 5,2.262648,3308055.024,3.308055024,0.683981368
Nat QC 3,4.984436,3255344.292,3.255344292,1.531154788
