site,lat,long
Ag 3,45.388001,-75.414172
Ag 4,45.3974372,-75.3817445
Ag 5,45.395624,-76.16716
Ag 6,45.3423881,-75.854487
Ag 7,45.3954657,-76.1665607
Nat QC 1,45.492365,-75.822184
Nat QC 3,45.501557,-75.822467
Nat QC 4,45.621048,-76.00333
Nat QC 6,45.470827,-75.840527
Nat QC 7,45.478057,-75.84708
Nat QC 9,45.575654,-75.884155
Ag-nat 1,45.293831,-76.262116
Ag-nat 2,45.384948,-75.54541
Ag-nat 3,45.3931244,-76.2266265
Ag-nat 5,45.397214,-75.553389
Ag-nat 7,45.442926,-76.20996
Ag-nat 8,45.4804771,-75.1959171
Ag-nat 9,45.240886,-75.430051
Half-ag 1,45.2072687,-75.9139564
Half 2,45.4650284,-75.0852878
Half 4,45.078876,-75.975734
Half 5,45.028344,-75.911274
Half 6,45.07783,-75.937803
Half 7,45.4093173,-75.0521933
Half 9,45.249277,-75.440809
Half 10,45.341672,-75.870918
Half-nat 4,45.040136,-75.8613706
Half-nat 6,45.077972,-75.937333
Nat-ag 1,45.038588,-75.818272
Nat-ag 2 old,45.0489887,-75.8239538
Nat-ag 2,45.011563,-75.832943
Nat-ag 3,45.0151233,-75.8017515
Nat-ag 4,45.411229,-75.56096
Nat-ag 5 old,45.055321,-75.846082
Nat-ag 5,45.050871,-75.880621
Nat-ag 6,45.039268,-75.752415
Nat-ag 7,45.0942911,-75.8690288
Nat-ag 8,45.3868793,-75.242458
Nat-ag 9,45.311197,-75.864135
