,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0.000645578,0.697869593,0.004196256,0.23983215,0.056488057,0.000968367,2788200
2,Nat-ag 3,0,0.019273302,0.612638231,0.003791469,0.352606635,0.006635071,0.005055292,2848500
3,Nat-ag 6,0.005110188,0.018524433,0.802618972,0,0.133503673,0.036729479,0.003513255,2817900
4,Nat-ag 2,0,0.004058695,0.686856072,0.020293475,0.249765845,0.036528255,0.002497658,2882700
5,Nat-ag 5 old,0,0.002655161,0.706604713,0,0.260869565,0.025224029,0.004646532,2711700
6,Nat-ag 5,0.009777778,0.15437037,0.500740741,0,0.301037037,0.034074074,0,3037500
7,Half 6,0,0.144020854,0.76702509,0,0.06419029,0.024437928,0.000325839,2762100
8,Nat-ag 7,0,0.079493835,0.752757949,0.010707333,0.136275146,0.020765737,0,2773800
9,Ag-nat 9,0.317766166,0.176028739,0.412475506,0.057152188,0.013389941,0.023187459,0,2755800
10,Half 9,0.198360656,0.195081967,0.506229508,0.01147541,0.030163934,0.058688525,0,2745000
11,Half 7,0.097439101,0.076826983,0.718925671,0.002186134,0.076202374,0.023110556,0.005309182,2881800
12,Ag-nat 2,0.42146996,0.038426349,0.238487344,0.008539189,0.205855444,0.085391888,0.001829826,2951100
13,Ag-nat 5,0.173982188,0.082379135,0.460877863,0.01653944,0.205470738,0.054389313,0.006361323,2829600
14,Nat-ag 4,0.008387097,0.089032258,0.585806452,0,0.263870968,0.051290323,0.001612903,2790000
15,Ag 6,0.030003093,0.27219301,0.231364058,0,0.072378596,0.394061243,0,2909700
16,Half 10,0.079916609,0.235927728,0.483669215,0.018068103,0.035441279,0.146977067,0,2590200
17,Nat-ag 9,0.000990753,0.059114927,0.625825627,0,0.059775429,0.250660502,0.003632761,2725200
18,Ag-nat 7,0.241401479,0.369334619,0.304082289,0,0.015107682,0.070073931,0,2799900
19,Half 5,0.155748663,0.097927807,0.702874332,0,0.020053476,0.019050802,0.00434492,2692800
20,Half 2,0.184245221,0.20468029,0.57185234,0,0.007910349,0.0313118,0,2730600
21,Ag-nat 3,0.448391421,0.216823056,0.28150134,0,0.002345845,0.050938338,0,2685600
22,Ag 3,0.412875271,0.381925101,0.088517487,0,0.010523058,0.080160941,0.025998143,2907900
23,Ag 5,0,0.390761969,0.542144302,0,0.023937964,0.042481457,0.000674309,2669400
24,Ag-nat 8,0.029110155,0.553754548,0.355276216,0.000330797,0.017532253,0.04399603,0,2720700
25,Nat-ag 8,0,0.021803766,0.67690783,0,0.060455897,0.233234225,0.007598282,2724300
26,Nat QC 7,0,0.009285943,0.917066923,0,0.000960615,0.060198527,0.012487992,2810700
27,Nat QC 6,0,0.049614482,0.903788133,0,0.003017097,0.039892725,0.003687563,2684700
28,Nat QC 4,0,0.000333222,0.931689437,0,0.007997334,0.058313895,0.001666111,2700900
29,Nat QC 3,0,0,0.966984343,0,0.007488087,0.02552757,0,2644200
30,Nat QC 1 alt,0,0.004020101,0.97520938,0,0.005025126,0.013735343,0.00201005,2686500
31,Nat QC 1 old,0,0.034075574,0.90148448,0,0.006747638,0.054318489,0.003373819,2667600
32,Nat QC 9,0.000325945,0.305736636,0.597457627,0,0.008800522,0.08767927,0,2761200
