,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0.001386963,0.66851595,0.009015257,0.258668516,0.062413315,0,1297800
2,Nat-ag 3,0,0.000674309,0.690492245,0,0.296695887,0.008091706,0.004045853,1334700
3,Nat-ag 6,0,0.026027397,0.795890411,0,0.137671233,0.038356164,0.002054795,1314000
4,Nat-ag 2,0,0,0.688372093,0,0.259800664,0.048504983,0.003322259,1354500
5,Nat-ag 5 old,0,0,0.704989154,0,0.257411424,0.037599422,0,1244700
6,Nat-ag 5,0,0.168414559,0.523750771,0,0.263417643,0.044417027,0,1458900
7,Half 6,0,0.133098592,0.792253521,0,0.05,0.023943662,0.000704225,1278000
8,Nat-ag 7,0,0.058864751,0.70217239,0,0.205325858,0.033637001,0,1284300
9,Ag-nat 9,0.264539007,0.127659574,0.443262411,0.123404255,0.017021277,0.024113475,0,1269000
10,Half 9,0.165124555,0.165124555,0.5886121,0.003558719,0.03772242,0.039857651,0,1264500
11,Half 7,0.084824387,0.054340623,0.755467197,0.004638834,0.070245195,0.021868787,0.008614977,1358100
12,Ag-nat 2,0.431423052,0.000643915,0.213135866,0,0.294269156,0.05666452,0.00386349,1397700
13,Ag-nat 5,0.121768707,0.063945578,0.475510204,0.020408163,0.244897959,0.070748299,0.002721088,1323000
14,Nat-ag 4,0.012552301,0.035564854,0.468619247,0,0.420502092,0.060669456,0.00209205,1290600
15,Ag 6,0.049640758,0.279555846,0.195950359,0,0.123448726,0.351404311,0,1377900
16,Half 10,0.027131783,0.235658915,0.559689922,0.040310078,0.007751938,0.129457364,0,1161000
17,Nat-ag 9,0,0.02722063,0.718481375,0,0.044412607,0.202005731,0.007879656,1256400
18,Ag-nat 7,0.235334714,0.387853692,0.279503106,0,0.01863354,0.078674948,0,1304100
19,Half 5,0.280496713,0.063550037,0.6165084,0,0.015339664,0.018991965,0.005113221,1232100
20,Half 2,0.101719198,0.151146132,0.700573066,0,0.006446991,0.040114613,0,1256400
21,Ag-nat 3,0.347538575,0.166789126,0.419544453,0,0,0.066127847,0,1224900
22,Ag 3,0.375164258,0.358081472,0.114980289,0,0.011169514,0.107752957,0.032851511,1369800
23,Ag 5,0,0.411242604,0.490384615,0,0.035502959,0.062869822,0,1216800
24,Ag-nat 8,0,0.435565155,0.49100072,0.000719942,0.010799136,0.061915047,0,1250100
25,Nat-ag 8,0,0.003594536,0.664989216,0,0.043853343,0.271028037,0.016534867,1251900
26,Nat QC 7,0,0.006858711,0.988340192,0,0.001371742,0,0.003429355,1312200
27,Nat QC 6,0,0,0.997797357,0,0,0,0.002202643,1225800
28,Nat QC 4,0,0,0.970160116,0,0.00363901,0.026200873,0,1236600
29,Nat QC 3,0,0,0.959459459,0,0.010510511,0.03003003,0,1198800
30,Nat QC 1 alt,0,0,0.986774431,0,0.008817046,0,0.004408523,1224900
31,Nat QC 1 old,0,0.002225519,0.985905045,0,0.002225519,0.006676558,0.002967359,1213200
32,Nat QC 9,0,0.249647391,0.642454161,0,0.010578279,0.097320169,0,1276200
