site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,2.595935,2229238.764,2.229238764,1.164493926
Nat-ag 5 old,1.690718,2155874.09,2.15587409,0.784237822
Half 9,1.712224,2188678.213,2.188678213,0.78230961
Half 2,2.399695,2178757.845,2.178757845,1.101405099
Ag-nat 8,5.467079,2172941.497,2.172941497,2.51598076
Nat QC 1 alt,1.71741,2137140.89,2.13714089,0.803601676
Nat-ag 5,1.872532,2443702.648,2.443702648,0.766268352
Half 7,1.624401,2310071.858,2.310071858,0.703182022
Half 10,1.503671,2053628.823,2.053628823,0.732201936
Ag-nat 3,3.65175,2131528.559,2.131528559,1.713207165
Nat QC 7,3.128889,2253056.628,2.253056628,1.388730741
Nat QC 1 old,3.019564,2120987.532,2.120987532,1.423659477
Nat-ag 6,3.121244,2254517.473,2.254517473,1.384439924
Half 6,1.64448,2207295.987,2.207295987,0.745020156
Ag-nat 2,2.768703,2367442.075,2.367442075,1.169491338
Nat-ag 9,3.251476,2170062.328,2.170062328,1.498333001
Ag 3,5.707622,2339244.808,2.339244808,2.439942147
Nat QC 6,3.2481,2137646.588,2.137646588,1.519474743
Nat QC 9,10.846591,2204324.357,2.204324357,4.920596629
Nat-ag 2,2.286953,2314686.566,2.314686566,0.988018436
Nat-ag 7,0.979525,2207877.342,2.207877342,0.443650098
Ag-nat 5,3.251678,2261902.128,2.261902128,1.437585632
Ag-nat 7,1.709617,2240637.12,2.24063712,0.763004855
Ag 5,2.215718,2123072.649,2.123072649,1.043637391
Nat QC 4,4.50605,2152662.17,2.15266217,2.093245314
Ag-nat 9,1.19493,2193492.012,2.193492012,0.544761501
Nat-ag 4,2.442259,2232111.257,2.232111257,1.094147522
Half 5,1.564723,2144333.26,2.14433326,0.729701408
Nat QC 3,3.898839,2101978.556,2.101978556,1.854842424
