date,year,day_of_year,temp_c,site,under_board,board_number,board_id,survey_start,survey_start_t,survey_end,survey_end_t,t_lapse_mins,t_midpoint,handling_start,handling_start_t,handling_end,handling_end_t,spp,sex_age_est,sex,probed,age_class,svl_cm,id,cluster,id_cluster,status
6/14/2023,2023,165,20,Nat QC 1 old,N,1,GP1,10:30,10.5,10:40,10.67,10,10.58,10:30,10.5,10:40,10.67,garter,F,F,Y,A,34.5,1,GP,GP1,unique
6/29/2023,2023,180,22,Nat-ag 6,,,,9:57,9.95,10:15,10.25,18,10.1,,0,,0,,,,,,,,,,
6/29/2023,2023,180,23,Nat-ag 3,,,,10:42,10.7,11:11,11.18,29,10.94,,0,,0,garter,,,,,,,,,not captured
6/29/2023,2023,180,23,Nat-ag 3,,,,10:42,10.7,11:11,11.18,29,10.94,,0,,0,redbelly,,,,,,,,,not captured
6/29/2023,2023,180,23,Nat-ag 3,,,,10:42,10.7,11:11,11.18,29,10.94,,0,,0,redbelly,,,,,,,,,not captured
6/29/2023,2023,180,25,Nat-ag 1,,,,11:37,11.62,12:08,12.13,31,11.88,11:55,11.92,11:58,11.97,smooth green snake ,M,,,,,,,,not captured
6/29/2023,2023,180,25,Nat-ag 1,Y,1,OS1,11:37,11.62,12:08,12.13,31,11.88,12:00,12,12:05,12.08,redbelly,F,F,N,A,24.5,1,OS,OS1,unique
6/29/2023,2023,180,27,Nat-ag 2,Y,13,OS13,12:40,12.67,13:25,13.42,45,13.04,,0,,0,garter,F,F,Y,A,44.5,1,OS,OS1,unique
6/29/2023,2023,180,27,Nat-ag 2,Y,16,OS16,12:40,12.67,13:25,13.42,45,13.04,,0,,0,redbelly,F,F,N,A,21,2,OS,OS2,unique
6/29/2023,2023,180,27,Nat-ag 2,,,,12:40,12.67,13:25,13.42,45,13.04,,0,,0,redbelly,,,,,,,,,not captured
6/29/2023,2023,180,28,Nat-ag 5 old,,,,14:00,14,14:10,14.17,10,14.08,,0,,0,garter,,,,,,,,,not captured
6/29/2023,2023,180,28,Nat-ag 5 old,,,,14:00,14,14:10,14.17,10,14.08,,0,,0,redbelly,,,,,,,,,not captured
6/29/2023,2023,180,28,Half 6,,,,14:45,14.75,15:10,15.17,25,14.96,,0,,0,,,,,,,,,,
6/29/2023,2023,180,28,Nat-ag 7 old,,,,15:50,15.83,16:01,16.02,11,15.93,,0,,0,,,,,,,,,,
7/4/2023,2023,185,21,Ag-nat 3,,,,9:10,9.17,9:24,9.4,14,9.28,,0,,0,,,,,,,,,,
7/4/2023,2023,185,23,Ag 3,,,,9:32,9.53,10:16,10.27,44,9.9,,0,,0,,,,,,,,,,
7/4/2023,2023,185,25,Ag 5,,,,10:30,10.5,10:59,10.98,29,10.74,,0,,0,,,,,,,,,,
7/5/2023,2023,186,22,Nat-ag 7 old,,,,8:54,8.9,9:06,9.1,12,9,,0,,0,,,,,,,,,,
7/5/2023,2023,186,24,Half 6,,,,10:03,10.05,10:23,10.38,20,10.22,,0,,0,,,,,,,,,,
7/5/2023,2023,186,27,Nat-ag 5 old,,,,10:52,10.87,11:03,11.05,11,10.96,,0,,0,,,,,,,,,,
7/5/2023,2023,186,30,Nat-ag 2,,,,11:32,11.53,11:46,11.77,14,11.65,,0,,0,redbelly,,,,,,,,,not captured
7/5/2023,2023,186,30,Nat-ag 1,,,,12:22,12.37,12:30,12.5,8,12.43,,0,,0,,,,,,,,,,
7/7/2023,2023,188,23,Half 9,Y,4,OE4,10:33,10.55,11:03,11.05,30,10.8,10:37,10.62,10:45,10.75,redbelly,F,F,N,A,23.5,1,OE,OE1,unique
7/7/2023,2023,188,23,Half 9,Y,8,OE8,10:33,10.55,11:03,11.05,30,10.8,10:54,10.9,11:00,11,redbelly,J,U,N,A,20,2,OE,OE2,unique
7/7/2023,2023,188,24,Ag-nat 9,,,,11:20,11.33,11:37,11.62,17,11.48,,0,,0,,,,,,,,,,
7/10/2023,2023,191,22,Nat-ag 1,Y,9,9,9:00,9,9:30,9.5,30,9.25,9:02,9.03,9:10,9.17,smooth green snake ,F,F,,A,,,,,not captured
7/10/2023,2023,191,22,Nat-ag 1,Y,6,OS6,9:00,9,9:30,9.5,30,9.25,9:11,9.18,9:17,9.28,redbelly,M,M,N,A,21.5,3,OS,OS3,unique
7/10/2023,2023,191,22,Nat-ag 1,Y,4,OS4,9:00,9,9:30,9.5,30,9.25,9:21,9.35,9:26,9.43,garter,M,M,Y,A,32.5,2,OS,OS1,unique
7/10/2023,2023,191,23,Nat-ag 3,Y,4,4,10:10,10.17,10:36,10.6,26,10.38,,0,,0,garter,,,,,,,,,not captured
7/10/2023,2023,191,23,Nat-ag 3,Y,11,OS11,10:10,10.17,10:36,10.6,26,10.38,10:14,10.23,10:23,10.38,redbelly,F,F,N,A,22.5,4,OS,OS4,unique
7/10/2023,2023,191,23,Nat-ag 3,Y,14,14,10:10,10.17,10:36,10.6,26,10.38,,0,,0,smooth green snake ,J,,,,,,,,not captured
7/10/2023,2023,191,22,Nat-ag 6,,,,11:19,11.32,11:29,11.48,10,11.4,,0,,0,,,,,,,,,,
